Student,Year,Major,Residence,Athlete,StudyHours,SleepHours,CoffeeCups
A,First-Year,Business,On-Campus,Yes,10,7,1
B,Sophomore,Data,On-Campus,No,14,6,2
C,Junior,Business,Commuter,Yes,8,8,0
D,Senior,Math,On-Campus,Yes,18,6,3
E,First-Year,Data,On-Campus,No,12,7,1
F,Sophomore,Biology,Commuter,Yes,9,8,0
G,Junior,Math,Commuter,No,16,6,2
H,Senior,Business,Commuter,No,11,7,1
I,First-Year,Psychology,On-Campus,Yes,7,9,0
J,Sophomore,Data,On-Campus,No,15,6,3
K,Junior,Biology,Commuter,No,10,8,1
L,First-Year,Math,On-Campus,No,20,5,4
M,First-Year,Business,On-Campus,No,6,8,0
N,Sophomore,Psychology,Commuter,Yes,13,7,2
O,Junior,Data,On-Campus,Yes,17,6,3
P,Senior,Biology,Commuter,No,12,7,1
Q,First-Year,Math,On-Campus,No,11,8,1
R,First-Year,Business,On-Campus,No,10,7,2
S,Junior,Psychology,Commuter,No,9,8,0
T,Junior,Data,On-Campus,Yes,19,5,4
U,First-Year,Biology,Commuter,No,8,9,0
V,Sophomore,Math,On-Campus,No,16,6,2
W,Junior,Psychology,On-Campus,Yes,12,7,1
X,Senior,Psychology,Commuter,No,14,6,2
Y,First-Year,Data,On-Campus,Yes,13,7,1
Z,Sophomore,Biology,On-Campus,No,11,8,1
AA,Sophomore,Math,Commuter,Yes,18,6,3
AB,Senior,Business,On-Campus,No,10,7,1
AC,First-Year,Business,Commuter,Yes,9,8,0
AD,Sophomore,Data,On-Campus,No,15,6,2
AE,Junior,Math,On-Campus,No,13,7,1
AF,Senior,Math,Commuter,Yes,21,5,4
AG,First-Year,Business,On-Campus,No,7,9,0
AH,Sophomore,Psychology,Commuter,No,12,7,1
AI,Junior,Data,On-Campus,Yes,18,6,3
AJ,Senior,Biology,On-Campus,No,14,7,2
AK,First-Year,Math,Commuter,Yes,10,8,1
AL,Sophomore,Business,On-Campus,No,9,8,0
AM,Junior,Psychology,On-Campus,Yes,13,7,2
AN,Senior,Data,Commuter,No,17,6,3
